key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
1,COMPLEX POST-TRAUMATIC STRESS SYMPTOMS IN FEMALE ADOLESCENTS: THE ROLE OF EMOTION DYSREGULATION IN IMPAIRMENT AND TRAUMA EXPOSURE AFTER AN ACUTE SEXUAL ASSAULT,2020,1,1,EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2000-8198,11,1,NA,VILLALTA L and KHADR S and CHUA KC and KRAMER T and CLARKE V and VINER RM and STRINGARIS A and SMITH P,10.1080/20008198.2019.1710400,,TAYLOR & FRANCIS LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
2,DISRUPTIONS IN THE AMOUNT AND TIMING OF SLEEP AND REPETITIVE NEGATIVE THINKING IN ADOLESCENTS,2020,1,1,BEHAVIORAL SLEEP MEDICINE,1540-2002,18,2,217,STEWART E and GIBB B and STRAUSS G and COLES M,10.1080/15402002.2018.1557188,,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
3,DO INSTRUCTIONS INTENDED TO REDUCE FALSE POSITIVES IMPROVE THE MEASUREMENT OF PHYSICAL PARTNER VIOLENCE VICTIMIZATION AMONG ADOLESCENTS AND YOUNG ADULTS?,2020,1,1,PSYCHOLOGY OF VIOLENCE,2152-0828,10,2,152,SARGENT KS and YULE K and BRIDGES K and JOURILES EN and GRYCH JH,10.1037/VIO0000246,,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
4,EMOTIONAL DYSREGULATION AND INTIMATE PARTNER VIOLENCE: A DYADIC PERSPECTIVE,2020,1,1,PSYCHOLOGY OF VIOLENCE,2152-0828,10,2,162,LEE KDM and RODRIGUEZ LM and EDWARDS KM and NEAL AM,10.1037/VIO0000248,,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
5,EMOTION REGULATION AND MIDDLE SCHOOL ADJUSTMENT IN JAPANESE GIRLS: MEDIATION BY PERCEIVED SOCIAL SUPPORT,NA,1,1,JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,,,NA,KITAHARA Y and MEARNS J and SHIMOYAMA H,10.1111/JPR.12280,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
6,"EXPLORING THE COGNITIVE, EMOTIONAL AND SENSORY CORRELATES OF SOCIAL ANXIETY IN AUTISTIC AND NEUROTYPICAL ADOLESCENTS",NA,1,1,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,,,NA,PICKARD H and HIRSCH C and SIMONOFF E and HAPPE F,10.1111/JCPP.13214,,WILEY,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
7,RISK OF ADDICTION: ITS PREVALENCE IN ADOLESCENCE AND ITS RELATIONSHIP WITH SECURITY OF ATTACHMENT AND SELF-CONCEPT,2020,1,1,CLINICA Y SALUD,1130-5274,31,1,21,CORNELLA-FONT MG and VINAS-POCH F and JUAREZ-LOPEZ JR and MALO-CERRATO S,10.5093/CLYSA2020A1,,COLEGIO OFICIAL PSICOLOGOS MADRID,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
8,"POTENTIALLY TRAUMATIC EVENTS IN FOSTER YOUTH, AND ASSOCIATION WITH DSM-5 TRAUMA- AND STRESSOR RELATED SYMPTOMS",2020,1,1,CHILD ABUSE & NEGLECT,0145-2134,101,,NA,LEHMANN S and BREIVIK K and MONETTE S and MINNIS H,10.1016/J.CHIABU.2020.104374,,PERGAMON-ELSEVIER SCIENCE LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
9,"ALPHA EEG ASYMMETRY, CHILDHOOD MALTREATMENT, AND PROBLEM BEHAVIORS: A PILOT HOME-BASED STUDY",2020,1,1,CHILD ABUSE & NEGLECT,0145-2134,101,,NA,MEIERS G and NOONER K and DE BELLIS MD and DEBNATH R and TANG A,10.1016/J.CHIABU.2020.104358,,PERGAMON-ELSEVIER SCIENCE LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
10,THE RELATIONSHIP BETWEEN ATTACHMENT AND SOMATOFORM SYMPTOMS IN CHILDREN AND ADOLESCENTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,2020,1,1,JOURNAL OF PSYCHOSOMATIC RESEARCH,0022-3999,130,,NA,VESTERLING C and KOGLIN U,10.1016/J.JPSYCHORES.2020.109932,,PERGAMON-ELSEVIER SCIENCE LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
11,CYBER-AGGRESSION AND PSYCHOLOGICAL AGGRESSION IN ADOLESCENT COUPLES: A SHORT-TERM LONGITUDINAL STUDY ON PREVALENCE AND COMMON AND DIFFERENTIAL PREDICTORS.,2020,1,1,COMPUTERS IN HUMAN BEHAVIOR,0747-5632,104,,NA,MUNOZ-FERNANDEZ N and SANCHEZ-JIMENEZ V,10.1016/J.CHB.2019.106191,,PERGAMON-ELSEVIER SCIENCE LTD,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
12,DEVELOPMENT AND VALIDATION OF THE PARENTS' GENDERED EMOTION BELIEFS SCALE,2020,1,1,JOURNAL OF CHILD AND FAMILY STUDIES,1062-1024,29,3,855,THOMASSIN K and SEDDON JA and VAUGHN-COAXUM R,10.1007/S10826-019-01591-6,,SPRINGER,,," RAYYAN-INCLUSION: {""Caspar""=>""Included""}"
13,THE RELATION BETWEEN ATTACHMENT AND DEPRESSION IN CHILDREN AND ADOLESCENTS: A MULTILEVEL META-ANALYSIS,2020,1,1,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,1096-4037,23,1,54,SPRUIT A and GOOS L and WEENINK N and RODENBURG R and NIEMEYER H and STAMS GJ and COLONNESI C,10.1007/S10567-019-00299-9,,SPRINGER/PLENUM PUBLISHERS,,," RAYYAN-INCLUSION: {""Caspar""=>""Excluded""}"
