"","abuse","academic","adhd_cd","adjustment","anxiety","appraisal","attachment","autism","autonomy","bullying","cognitive","depression","device-use","dysregulation","eating_disorders","emotion","empathy","externalizing","family-functioning","health","internalizing","mental_health","mindfulness","minority_status","mothers","negative_emotionality","neural","obesity","parenting","parents","personality","polyvagal","ptsd","resilience","rumination","self-harm","self-regulation","sex","social skills","strategies","stress","substance","suicide","suppression","therapy","wellbeing"
"abuse",0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,37,0,0,0,0
"academic",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adhd_cd",0,0,0,0,25,0,0,0,0,0,0,51,0,141,0,0,0,56,0,0,0,73,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adjustment",0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anxiety",0,0,25,0,0,0,0,30,0,0,0,187,0,143,0,0,0,26,0,0,0,43,0,0,0,0,36,0,26,0,0,0,0,0,0,0,0,0,0,40,33,0,0,0,0,0
"appraisal",0,0,0,0,0,0,0,0,0,0,45,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"attachment",0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"autism",0,0,0,0,30,0,0,0,0,0,0,0,0,77,0,0,0,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"autonomy",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bullying",0,0,0,0,0,0,0,0,0,0,0,42,0,68,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cognitive",0,0,0,0,0,45,0,0,0,0,0,39,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
"depression",0,0,51,0,187,0,0,0,0,42,39,0,0,232,0,25,0,39,0,0,0,68,0,0,38,28,56,0,35,0,0,0,0,0,37,0,0,36,0,52,41,25,0,0,0,0
"device-use",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
