"Word","Frequency"
"mental_health",498
"dysregulation",389
"depression",286
"neural",253
"anxiety",237
"sex",219
"mothers",192
"minority_status",139
"substance",133
"attachment",126
"ptsd",123
"health",105
"bullying",103
"strategies",95
"sleep",81
"device-use",74
"negative_emotionality",72
"stress",72
"internalizing",62
"SES",58
"therapy",58
"abuse",56
"genes",56
"adhd_cd",55
"suicide",54
"mindfulness",52
"autism",50
"adjustment",46
"friend",43
"polyvagal",42
"appraisal",39
"delinquency",38
"empathy",38
"eating_disorders",36
"cognitive",35
"externalizing",32
"fathers",32
"foster",32
"disabled",31
"loneliness",31
"endocrine",28
"obesity",28
"rumination",28
"academic",27
"identity",27
"fear",25
"social-support",25
"parenting",21
"sexual-risk",20
"music",18
"reactivity",17
"age",16
"historic-events",16
"sports",16
"wellbeing",16
"reward",15
"discrimination",14
"puberty",14
"shame",14
"schizo",13
"urban",13
"sexual-diversity",12
"autonomy",11
"divorce",11
"emotion",11
"nervous-system",9
"personality",9
"romantic",9
"moral",7
"par-conflict",7
